Episode;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;SOLL;;;;;;;;;;;;;;;IST;;;;;;;;;;;;;;;
;;Nr.;Marke;Modell;Typ;Kommentar;Kraftstoff;Umbauten;Zylinder;Getriebe;PS;Verbrauch;KM-Stand;BauJahr;ErstZulassung;;Result;pMax;(u/min);nMax (u/min);pMax2; (u/min);nMax2;)u/min);;Kunde;KZ;Region;Bundesland;Land;;Entfernung (~km);
;;9;Ford;Sierra;2.0i;LX, Gekauft 600€ (Kurbelwellensensor war defekt);;;;;120;;;;;;;;;;117,1;6016;174,6;2615;;;SL;Schleswig-Flensburg;Schleswig-Holstein;DE;;484;
;;10;Audi;80 (B3);1.9S;Gekauft für 6.000€  bei 26.000;;;5;;113;;36.120;1989;;;;;;;104,1;5192;159,5;3322;;;FB;Friedberg;Hessen;DE;;250;
;;11;Lancia;Kappa (Coupe);2.0t;Gekauft vor 8 Jahren für 2000€;;;5;;220;;250.184;1998;;;;;;;238,5;6250;342,3;3342;;;TF;Teltow-Fläming;Brandenburg;DE;;500;
;;Data;;;;;;;;;1515;;;;;;;;;;1525,3;;;;;;;;;;;;
;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
